time,open,high,low,close,Plot,Plot,Plot,Plot,Plot,MA Offset Stop Loss,Low Offset Stop Loss,Min of MA and Low Offsets,Bottom 1,Top 1,Bottom 2,Top 2,Bottom 3,Top 3,Extream,ExtreamH,ExtreamL,Signal Long EMA,Resistance Long EMA,Middle EMA,Fast EMA,Signal Long EMA,Resistance Long EMA,Middle EMA,Fast EMA,Shapes,Shapes,RSI,RSI-based MA,Upper Bollinger Band,Lower Bollinger Band,ATR
2011-08-15T00:00:00Z,10.9,11.85,10.9,11.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN
2011-08-22T00:00:00Z,11.7,11.7,10,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN
2011-08-29T00:00:00Z,8,8.89,5.25,8.89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN
2011-09-05T00:00:00Z,8,8.5,7.4,7.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN
2011-09-12T00:00:00Z,5.8,6,4.8,4.92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN
2011-09-19T00:00:00Z,4.9,6.05,4.9,6.05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN
2011-09-26T00:00:00Z,6.06,6.06,4.8,4.82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN
2011-10-03T00:00:00Z,4.85,6.25,3.89,3.89,7.20875,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,NaN,NaN,NaN,NaN,NaN
2011-10-10T00:00:00Z,3.99,4.51,3.93,4.05,6.506805555555555,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN
2011-10-17T00:00:00Z,3.92,3.92,2.22,2.27,5.565293209876543,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,1,NaN,NaN,NaN,NaN,NaN
2011-10-24T00:00:00Z,2.99,4.4,2.66,3.5,5.106339163237312,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.818813379469434,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN
2011-10-31T00:00:00Z,3.25,3.55,2.95,2.95,4.6271526825179095,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.347239617514719,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN
2011-11-07T00:00:00Z,3.08,3.35,2.95,3.35,4.343340975291707,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.7400000000000004,4,1.9625000000000001,2.7775,NaN,NaN,NaN,4.907145480657544,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN
2011-11-14T00:00:00Z,2.95,3,2.37,2.37,3.904820758560217,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.3457142857142861,5.194285714285714,2.1639285714285714,3.3760714285714286,NaN,NaN,NaN,4.344303438774976,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,1.6299999999999997
2011-11-21T00:00:00Z,2.45,15,2.25,2.77,3.6526383677690575,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.6203061224489801,5.23969387755102,2.3525765306122453,3.507423469387755,NaN,NaN,NaN,4.0428315693320585,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1,NaN,NaN,NaN,NaN,2.424285714285714
2011-11-28T00:00:00Z,2.67,3.48,2.66,2.93,3.492052063820378,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0767128279883385,5.463287172011661,2.7216782069970846,3.8183217930029154,NaN,NaN,NaN,3.820595761165828,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,2.30969387755102
2011-12-05T00:00:00Z,2.82,3.5,2.82,3.27,3.442707160749183,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.438376197417743,5.5616238025822575,2.9845940493544356,4.015405950645564,NaN,NaN,NaN,3.6819851236905463,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,2.1932871720116616
2011-12-12T00:00:00Z,3.37,3.6,3.25,3.5,3.45543890280492,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.2663493261736183,6.273650673826381,3.769087331543404,4.770912668456595,NaN,NaN,NaN,3.6393987625850817,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,2.061623802582257
2011-12-19T00:00:00Z,3.5,4.75,3.5,4.27,3.6364524799593823,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.08303866001836,6.91696133998164,4.52075966500459,5.47924033499541,NaN,NaN,NaN,3.790101998890376,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,2.0036506738263813
2011-12-26T00:00:00Z,4.27,5,4.21,5,3.9394630399684085,4.895,NaN,10.041181108355985,-0.2511811083559854,NaN,NaN,NaN,NaN,NaN,5.072107327159906,8.927892672840095,6.518026831789976,7.481973168210024,NaN,NaN,NaN,3.9569449973884674,NaN,NaN,4.895,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,1.9169613399816396
