time,open,high,low,close,Plot,Plot,Plot,Plot,Plot,MA Offset Stop Loss,Low Offset Stop Loss,Min of MA and Low Offsets,Bottom 1,Top 1,Bottom 2,Top 2,Bottom 3,Top 3,Extream,ExtreamH,ExtreamL,Signal Long EMA,Resistance Long EMA,Middle EMA,Fast EMA,Signal Long EMA,Resistance Long EMA,Middle EMA,Fast EMA,Shapes,Shapes,RSI,RSI-based MA,Upper Bollinger Band,Lower Bollinger Band,ATR
1954-06-28T00:00:00Z,0.8,0.8,0.8,0.8,NaN,NaN,NaN,NaN,NaN,NaN,0.26660299954582245,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.1069387112200415,4.278356453169499,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN
1954-07-26T00:00:00Z,1.22,1.22,1.22,1.22,NaN,NaN,NaN,NaN,NaN,NaN,0.6866029995458224,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.278356453169499,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN
1954-08-30T00:00:00Z,1.07,1.07,1.07,1.07,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.278356453169499,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN
1954-09-27T00:00:00Z,0.85,0.85,0.85,0.85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.278356453169499,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN
1954-11-01T00:00:00Z,0.83,0.83,0.83,0.83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.278356453169499,NaN,NaN,NaN,NaN,NaN,NaN,0,1,NaN,NaN,NaN,NaN,NaN
1954-11-29T00:00:00Z,1.28,1.28,1.28,1.28,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.278356453169499,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN
1954-12-27T00:00:00Z,1.39,1.39,1.39,1.39,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,NaN,NaN,NaN,NaN,NaN
1955-01-31T00:00:00Z,1.29,1.29,1.29,1.29,1.09125,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN
1955-02-28T00:00:00Z,1.35,1.35,1.35,1.35,1.1487500000000002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN
1955-03-28T00:00:00Z,1.43,1.43,1.43,1.43,1.2112500000000002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN
1955-04-25T00:00:00Z,1.43,1.43,1.43,1.43,1.2598611111111113,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.8071428571428572,2.112857142857143,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN
1955-05-30T00:00:00Z,1.64,1.64,1.64,1.64,1.3443364197530865,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.0223469387755104,2.33765306122449,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN
1955-06-27T00:00:00Z,1.68,1.68,1.68,1.68,1.4189283264746229,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.0893221574344025,2.390677842565598,1.8071428571428572,2.112857142857143,1.9217857142857142,1.9982142857142857,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN
1955-08-01T00:00:00Z,1.96,1.96,1.96,1.96,1.5391664761469288,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.2022277176176592,2.497772282382341,2.0223469387755104,2.33765306122449,2.1405867346938776,2.2194132653061227,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,0.15285714285714283
1955-08-29T00:00:00Z,2.18,2.18,2.18,2.18,1.6815739258920557,NaN,NaN,NaN,NaN,NaN,1.8742857142857146,NaN,2.333497166359255,2.6265028336407448,2.0893221574344025,2.390677842565598,2.202330539358601,2.2776694606413996,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,0.1576530612244898
1955-09-26T00:00:00Z,2.24,2.24,2.24,2.24,1.8056686090271545,NaN,NaN,NaN,NaN,NaN,1.9246938775510207,NaN,2.3118187973335944,2.588181202666406,2.2022277176176592,2.497772282382341,2.3130569294044148,2.3869430705955854,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,0.15067784256559769
1955-10-31T00:00:00Z,2.35,2.35,2.35,2.35,1.9266311403544536,NaN,NaN,NaN,NaN,NaN,2.0486443148688047,NaN,2.368117454666909,2.631882545333091,2.333497166359255,2.6265028336407448,2.4433742915898136,2.5166257084101864,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,0.1477722823823407
1955-11-28T00:00:00Z,2.48,2.48,2.48,2.48,2.049601998053464,NaN,NaN,NaN,NaN,NaN,2.1844554352353187,NaN,2.3775376364764154,2.6224623635235846,2.3118187973335944,2.588181202666406,2.4154546993333987,2.4845453006666016,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,0.14650283364074493
1955-12-26T00:00:00Z,2.45,2.45,2.45,2.45,2.138579331819361,NaN,NaN,NaN,NaN,NaN,2.15699433271851,NaN,2.497713519585243,2.7422864804147573,2.368117454666909,2.631882545333091,2.467029363666727,2.532970636333273,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,0.138181202666406
1956-01-30T00:00:00Z,2.5,2.5,2.5,2.5,2.2188950358595028,1.621,NaN,2.7459693329153465,0.49603066708465327,NaN,2.223637594667188,NaN,2.6271625539005825,2.8728374460994175,2.3775376364764154,2.6224623635235846,2.4693844091191037,2.5306155908808963,NaN,NaN,NaN,NaN,NaN,NaN,1.621,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,0.13188254533309127
